名称,钱包地址,分组,链,代币,Token状态,视角,排名,角色
Buttcoin-早期建仓-top1,FFcYgSSgWHforA9rXXkA48p8YFoz8TSW85Jpo3CQHDyS,无数据,sol,Buttcoin,追踪中,早期建仓,1,current-holder
67-早期建仓-top1,DMAFL613XTipuA3jFNYczavWT7XsiYf9cR3qmRMZQhB6,无数据,sol,67,追踪中,早期建仓,1,current-holder
LMAO!-早期建仓-top1,AFaYrFH7hUYnkv5mbvbnRHwX29M9JzUL3ySGtQz69AUv,无数据,sol,LMAO!,追踪中,早期建仓,1,"early-buyer,current-holder"
TROLL-早期建仓-top1,3FmDjqwKSCyQyRZZNJvNKbxT5uZrD6VwbpfYrgLw38pv,无数据,sol,TROLL,追踪中,早期建仓,1,"pnl-leader,current-holder"
Fartcoin -早期建仓-top1,9SLPTL41SPsYkgdsMzdfJsxymEANKr5bYoBsQzJyKpKS,无数据,sol,Fartcoin ,追踪中,早期建仓,1,current-holder
testicle-早期建仓-top1,GJwcetNWR9YcpYBDjpuofWj5JGCPnxBFg89ydf9vwLZR,早期建仓,sol,testicle,追踪中,早期建仓,1,
FWOG-早期建仓-top1,5Q544fKrFoe6tsEbD7S8EmxGTJYAKtTVhAW5Q5pge4j1,亏损者,sol,FWOG,追踪中,早期建仓,1,current-holder
ALCH-早期建仓-top1,4yLwPkrEhZsY267D4mLXRyYBByK7ierc5j334yHE6BeF,亏损者,sol,ALCH,追踪中,早期建仓,1,
WOULD-早期建仓-top1,FtSNHsCMrnsoPZoUKTmXDkMZ2Q2WmCqsqE8DbAqbjrbk,沉睡OG,sol,WOULD,追踪中,早期建仓,1,"pnl-leader,current-holder"
USDUC-早期建仓-top1,4nNXThnYYBsHmXyUPDhizCwU7o1tg2KwXJodWQEemsfV,无数据,sol,USDUC,追踪中,早期建仓,1,"pnl-leader,current-holder"
Ban-早期建仓-top1,M2St7Gra11AKvk3tC4fJPkxviWYKpLZSMmKcHNoDtxp,中性,sol,Ban,追踪中,早期建仓,1,
arc-早期建仓-top1,8ECaGWdoJnvh6jECAjNWiWm7WvLPTgTsx3iEAxD5j6Vi,早期建仓,sol,arc,追踪中,早期建仓,1,current-holder
MOODENG-早期建仓-top1,FYchVwTvXSDf1mEndg8p1DvBUagYV7444VYHWq9GTxq6,无数据,sol,MOODENG,追踪中,早期建仓,1,current-holder
Pnut-早期建仓-top1,9WzDXwBbmkg8ZTbNMqUxvQRAyrZzDsGYdLVL9zYtAWWM,中性,sol,Pnut,追踪中,早期建仓,1,current-holder
jellyjelly-早期建仓-top1,u6PJ8DtQuPFnfmwHbGFULQ4u4EgjDiyYKjVEsynXq2w,无数据,sol,jellyjelly,追踪中,早期建仓,1,current-holder
WOJAK-早期建仓-top1,2RX1ZogEMsjv1YjMF3m5U1DN7gVCtSLaQHs27F17ECve,中性,sol,WOJAK,追踪中,早期建仓,1,
BAYC-早期建仓-top1,22WHT3xGsULLrQiyrDrJVNkmp1p35DbyG9KdfFxeHCpN,中性,sol,BAYC,追踪中,早期建仓,1,"pnl-leader,current-holder"
PYTHIA-早期建仓-top1,8ECaGWdoJnvh6jECAjNWiWm7WvLPTgTsx3iEAxD5j6Vi,早期建仓,sol,PYTHIA,追踪中,早期建仓,1,current-holder
ZEREBRO-早期建仓-top1,5LZkATrLwHYCQj2YuVbjjgsDZzBk6YfL4pFQRJmtboT2,无数据,sol,ZEREBRO,追踪中,早期建仓,1,"pnl-leader,current-holder"
swarms-早期建仓-top1,3caFdfwp2LQ93cTENzGm7T7SRSZHXiuWTB22gDQ2UBSy,早期建仓,sol,swarms,追踪中,早期建仓,1,
neet-早期建仓-top1,Ge4p7K2p55poDvu5ZxK5RJVUAj5WZXyY8iioARdgh1sq,无数据,sol,neet,追踪中,早期建仓,1,current-holder
SIGMA-早期建仓-top1,D1B7q4pMKXo6FroM5pdKmidN3tpWuo6z9CGx9rFStu6Z,早期建仓,sol,SIGMA,追踪中,早期建仓,1,
PUMPCADE-早期建仓-top1,TUXkv8TVamHtLxieFADwNWjSuyqyNUiUqMz9bLxqYeu,早期建仓,sol,PUMPCADE,追踪中,早期建仓,1,current-holder
MAGA-早期建仓-top1,JCQnrhDZ73PCW1k7ZvUcPRgVCAEJNuZWfU7tmpWj36R2,早期建仓,sol,MAGA,追踪中,早期建仓,1,
Verse-早期建仓-top1,7PbcoCNXi44oKuKM39yCJb5Lm9swygKsuhRz69EVi32v,无数据,sol,Verse,追踪中,早期建仓,1,current-holder
Amiko-早期建仓-top1,5u3DVj1H5zrg1zfuv71oYcXZzQgUGfXDmTGci6Eudi4t,早期建仓,sol,Amiko,追踪中,早期建仓,1,current-holder
pippin-早期建仓-top1,77DXFZnMebramt4dXfdwem1AjnfNnVnG8FkcVWpSwdjB,中性,sol,pippin,追踪中,早期建仓,1,"pnl-leader,peak-seller"
BURNIE-早期建仓-top1,BYTWJ7ds8E5fK8ECQQaa3bXoZT8Z9RECjzi9asUGuhuR,早期建仓,sol,BURNIE,追踪中,早期建仓,1,
unc-早期建仓-top1,8rnh7qdAYc8Kd8fogrEFeYEpf2oezGFV3Eb4TivAXdub,中等盈利,sol,unc,追踪中,早期建仓,1,
PRELODE-早期建仓-top1,GYdJfRSHnzQ2QxwADLwsVtuPeHR2shpWvdyR8eF4aVmz,中等盈利,sol,PRELODE,追踪中,早期建仓,1,
GOAT-早期建仓-top1,Am8MAEorCMAKxphqjAz3Ff59NEwPm4W2eS3DQLi2B4hg,无数据,sol,GOAT,追踪中,早期建仓,1,current-holder
MarsMi-早期建仓-top1,3bXT9jFYTFJPFR9if6KPR79Geoz42LTL4tgaqMZZzpMn,无数据,sol,MarsMi,追踪中,早期建仓,1,current-holder
Clash-早期建仓-top1,5pYBpTkovK2zyidKrJhCWCLU9AQfF3rSRjq6YCXWH8Yf,沉睡OG,sol,Clash,追踪中,早期建仓,1,"pnl-leader,current-holder"
CHILLGUY-早期建仓-top1,BmFdpraQhkiDQE6SnfG5omcA1VwzqfXrwtNYBwWTymy6,无数据,sol,CHILLGUY,追踪中,早期建仓,1,current-holder
HANTA-早期建仓-top1,8R1AVdSs95sy5u7N6RUDQcAaZBz6n1LBCW7FsVvYHwxV,早期建仓,sol,HANTA,追踪中,早期建仓,1,
VINE-早期建仓-top1,C68a6RCGLiPskbPYtAcsCjhG8tfTWYcoB4JjCrXFdqyo,无数据,sol,VINE,追踪中,早期建仓,1,current-holder
Bert-早期建仓-top1,mu5h6byDpZBzugjEuswVSUTqEshhmi6M5C1nwZhB8T1,无数据,sol,Bert,追踪中,早期建仓,1,current-holder
ACT-早期建仓-top1,CqrwsE7Ni9AM3EGtJ68Grg9VLwP1xJWNkc5WXjLPECN6,中性,sol,ACT,追踪中,早期建仓,1,
Goblin-早期建仓-top1,RwT8dxbecoLaSxkPNwnK1zNpPYFoY1upDiFM5XMpGit,早期建仓,sol,Goblin,追踪中,早期建仓,1,current-holder
FORCA-早期建仓-top1,DB4cg1r4ZH3oMsULiCUx4U195rdfp2CPjmsoGJQiYoC9,沉睡OG,sol,FORCA,追踪中,早期建仓,1,"pnl-leader,current-holder"
TripleT-早期建仓-top1,3KFCgJ5R3zshW8hTDbzjSrrKSRYmKvsMfhc4Vo4iddxD,早期建仓,sol,TripleT,追踪中,早期建仓,1,current-holder
WOLF-早期建仓-top1,6W46DHAyHmRC6oqDQF5t7Q4CJoCE5YsvuGKFxgwZfjAb,无数据,sol,WOLF,追踪中,早期建仓,1,current-holder
WNTV-早期建仓-top1,8sYeh6aiKfc59yf2zh3PsMFjEHakJPF7TK8fdgduBGue,无数据,sol,WNTV,追踪中,早期建仓,1,current-holder
BULL-早期建仓-top1,9s122YBbogcBg2pL7N9xGN9se6WZRjhQLT89rEBZ3T8A,早期建仓,sol,BULL,追踪中,早期建仓,1,
SMR-早期建仓-top1,6jfC9p4jzTBTGpMrbR8H464kNo1SBGNCW17oDETzSJrf,亏损者,sol,SMR,追踪中,早期建仓,1,current-holder
UFD-早期建仓-top1,E2RvJg2myWpKcbkhBuF81gfhYr6KvmNcDbSmr5qnatYy,无数据,sol,UFD,追踪中,早期建仓,1,current-holder
CINO-早期建仓-top1,E12yQDriMCigqc2y5CKSowFd9Z32aWmL174yi4UDnt4k,无数据,sol,CINO,追踪中,早期建仓,1,"pnl-leader,current-holder"
AISM-早期建仓-top1,8h4PddVs9dD6kWpbmriRjUuVTQAkpr6YmCGgSyAZm6XP,中性,sol,AISM,追踪中,早期建仓,1,current-holder
AVA-早期建仓-top1,u6PJ8DtQuPFnfmwHbGFULQ4u4EgjDiyYKjVEsynXq2w,无数据,sol,AVA,追踪中,早期建仓,1,current-holder
maxxing-早期建仓-top1,HBdya3uzChN6XwjL7E83pTDEnYzrEwzSwdjaB9b849eF,中等盈利,sol,maxxing,追踪中,早期建仓,1,
XPT -早期建仓-top1,GkX3LJMYHN8xaburCdbkNektDd9S88UnF9zaddx2ivGx,中性,sol,XPT ,追踪中,早期建仓,1,current-holder
